monthYear,month,levelCrookedLakeCount,levelCrookedLake,,rainfallFinal,rainfallFinal1,rainfallFinal2,rainfallFinal3,rainfallFinal4,rainfallFinal5,rainfallFinal6,rainfallFinal7,rainfallFinal8,rainfallFinal9,rainfallFinal10,rainfallFinal11,rainfallFinal12,rainfallFinal13,rainfallFinal14,rainfallFinal15,rainfallFinal16,rainfallFinal17,rainfallFinal18,rainfallFinal19,rainfallFinal20,rainfallFinal21,rainfallFinal22,rainfallFinal23,rainfallFinal24,rainfallFinal25,rainfallFinal26,rainfallFinal27,rainfallFinal28,rainfallFinal29,rainfallFinal30,rainfallFinal31,rainfallFinal32,rainfallFinal33,rainfallFinal34,rainfallFinal35,rainfallFinal36,rainfallFinal37,rainfallFinal38,rainfallFinal39,rainfallFinal40,rainfallFinal41,rainfallFinal42,rainfallFinal43,rainfallFinal44,rainfallFinal45,rainfallFinal46,rainfallFinal47,rainfallFinal48,rainfallFinal49,rainfallFinal50,rainfallFinal51,rainfallFinal52,rainfallFinal53,rainfallFinal54,rainfallFinal55,rainfallFinal56,rainfallFinal57,rainfallFinal58,rainfallFinal59,rainfallFinal60,rainfallFinal61,rainfallFinal62,rainfallFinal63,rainfallFinal64,rainfallFinal65,rainfallFinal66,rainfallFinal67,rainfallFinal68,rainfallFinal69,rainfallFinal70
9/1/1941,9,,,,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99,2.41,10.87,2.59,1.67,5.52,8.35,5.13,2.39,1.05
10/1/1941,10,,,,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99,2.41,10.87,2.59,1.67,5.52,8.35,5.13,2.39
11/1/1941,11,,,,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99,2.41,10.87,2.59,1.67,5.52,8.35,5.13
12/1/1941,12,,,,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99,2.41,10.87,2.59,1.67,5.52,8.35
1/1/1942,1,,,,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99,2.41,10.87,2.59,1.67,5.52
2/1/1942,2,,,,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99,2.41,10.87,2.59,1.67
3/1/1942,3,,,,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99,2.41,10.87,2.59
4/1/1942,4,,,,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99,2.41,10.87
5/1/1942,5,,,,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99,2.41
6/1/1942,6,,,,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99
7/1/1942,7,,,,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99
8/1/1942,8,,,,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87
9/1/1942,9,,,,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07
10/1/1942,10,,,,0.13,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14
11/1/1942,11,,,,0,0.13,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63
12/1/1942,12,,,,3.54,0,0.13,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13
1/1/1943,1,,,,1.21,3.54,0,0.13,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31
2/1/1943,2,,,,0.46,1.21,3.54,0,0.13,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06
3/1/1943,3,,,,4.94,0.46,1.21,3.54,0,0.13,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65
4/1/1943,4,,,,1.69,4.94,0.46,1.21,3.54,0,0.13,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9
5/1/1943,5,,,,8.83,1.69,4.94,0.46,1.21,3.54,0,0.13,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29
6/1/1943,6,,,,5.76,8.83,1.69,4.94,0.46,1.21,3.54,0,0.13,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27
7/1/1943,7,,,,7.86,5.76,8.83,1.69,4.94,0.46,1.21,3.54,0,0.13,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47
8/1/1943,8,,,,10.02,7.86,5.76,8.83,1.69,4.94,0.46,1.21,3.54,0,0.13,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47
9/1/1943,9,,,,3.98,10.02,7.86,5.76,8.83,1.69,4.94,0.46,1.21,3.54,0,0.13,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44
10/1/1943,10,,,,4.35,3.98,10.02,7.86,5.76,8.83,1.69,4.94,0.46,1.21,3.54,0,0.13,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87
11/1/1943,11,,,,1.32,4.35,3.98,10.02,7.86,5.76,8.83,1.69,4.94,0.46,1.21,3.54,0,0.13,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44
12/1/1943,12,,,,0.59,1.32,4.35,3.98,10.02,7.86,5.76,8.83,1.69,4.94,0.46,1.21,3.54,0,0.13,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43
1/1/1944,1,,,,1.54,0.59,1.32,4.35,3.98,10.02,7.86,5.76,8.83,1.69,4.94,0.46,1.21,3.54,0,0.13,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45
2/1/1944,2,,,,0.79,1.54,0.59,1.32,4.35,3.98,10.02,7.86,5.76,8.83,1.69,4.94,0.46,1.21,3.54,0,0.13,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42
3/1/1944,3,,,,4.25,0.79,1.54,0.59,1.32,4.35,3.98,10.02,7.86,5.76,8.83,1.69,4.94,0.46,1.21,3.54,0,0.13,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43
4/1/1944,4,,,,5.73,4.25,0.79,1.54,0.59,1.32,4.35,3.98,10.02,7.86,5.76,8.83,1.69,4.94,0.46,1.21,3.54,0,0.13,5.37,5.19,8.76,8.52,6.43,2.67,3.86,4.72,4.48,1.98,2.49,2.62,4.89,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64
